id,fecha,partido,equipo_local,equipo_visitante,hora_inicio,estadio,abridor_local,era_local,abridor_visitante,era_visitante,mercado,ganador_proyectado,probabilidad_local,probabilidad_visitante,diferencia_probabilidad,solidez_modelo,marcador_proyectado,evaluacion,estado,generado_en,version_modelo,estado_es,evaluacion_es,mercado_es,total_carreras_esperadas,linea_mercado_ou,lado_recomendado_ou,probabilidad_over_ou,probabilidad_under_ou,origen_linea_ou,pitcher_ponches,ponches_proyectados,linea_mercado_ponches,lado_recomendado_ponches,probabilidad_over_ponches,probabilidad_under_ponches,origen_linea_ponches
824804,2026-08-06,Los Angeles Angels @ Baltimore Orioles,Baltimore Orioles,Los Angeles Angels,2026-08-06,Oriole Park at Camden Yards,Brandon Young,0.0,Ryan Johnson,0.0,Ganador del partido,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FINAL,2026-08-06T14:42:12.657174,1.0.0,Juego finalizado,N/A,Ganador del partido,,,,,,,,,,,,,
824804,2026-08-06,Los Angeles Angels @ Baltimore Orioles,Baltimore Orioles,Los Angeles Angels,2026-08-06,Oriole Park at Camden Yards,Brandon Young,0.0,Ryan Johnson,0.0,Más/Menos carreras,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FINAL,2026-08-06T14:42:12.657174,1.0.0,Juego finalizado,N/A,Más/Menos carreras,,,,,,,,,,,,,
824804,2026-08-06,Los Angeles Angels @ Baltimore Orioles,Baltimore Orioles,Los Angeles Angels,2026-08-06,Oriole Park at Camden Yards,Brandon Young,0.0,Ryan Johnson,0.0,Ponches (Local),N/A,N/A,N/A,N/A,N/A,N/A,N/A,FINAL,2026-08-06T14:42:12.657174,1.0.0,Juego finalizado,N/A,Ponches (Local),,,,,,,,,,,,,
824804,2026-08-06,Los Angeles Angels @ Baltimore Orioles,Baltimore Orioles,Los Angeles Angels,2026-08-06,Oriole Park at Camden Yards,Brandon Young,0.0,Ryan Johnson,0.0,Ponches (Visitante),N/A,N/A,N/A,N/A,N/A,N/A,N/A,FINAL,2026-08-06T14:42:12.657174,1.0.0,Juego finalizado,N/A,Ponches (Visitante),,,,,,,,,,,,,
824481,2026-08-06,Athletics @ Cincinnati Reds,Cincinnati Reds,Athletics,2026-08-06,Great American Ball Park,Andrew Abbott,0.0,Mason Barnett,0.0,Ganador del partido,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FINAL,2026-08-06T14:42:13.468618,1.0.0,Juego finalizado,N/A,Ganador del partido,,,,,,,,,,,,,
824481,2026-08-06,Athletics @ Cincinnati Reds,Cincinnati Reds,Athletics,2026-08-06,Great American Ball Park,Andrew Abbott,0.0,Mason Barnett,0.0,Más/Menos carreras,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FINAL,2026-08-06T14:42:13.468618,1.0.0,Juego finalizado,N/A,Más/Menos carreras,,,,,,,,,,,,,
824481,2026-08-06,Athletics @ Cincinnati Reds,Cincinnati Reds,Athletics,2026-08-06,Great American Ball Park,Andrew Abbott,0.0,Mason Barnett,0.0,Ponches (Local),N/A,N/A,N/A,N/A,N/A,N/A,N/A,FINAL,2026-08-06T14:42:13.468618,1.0.0,Juego finalizado,N/A,Ponches (Local),,,,,,,,,,,,,
824481,2026-08-06,Athletics @ Cincinnati Reds,Cincinnati Reds,Athletics,2026-08-06,Great American Ball Park,Andrew Abbott,0.0,Mason Barnett,0.0,Ponches (Visitante),N/A,N/A,N/A,N/A,N/A,N/A,N/A,FINAL,2026-08-06T14:42:13.468618,1.0.0,Juego finalizado,N/A,Ponches (Visitante),,,,,,,,,,,,,
824401,2026-08-06,New York Mets @ Cleveland Guardians,Cleveland Guardians,New York Mets,2026-08-06,Progressive Field,Foster Griffin,0.0,Nolan McLean,0.0,Ganador del partido,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FINAL,2026-08-06T14:42:14.053992,1.0.0,Juego finalizado,N/A,Ganador del partido,,,,,,,,,,,,,
824401,2026-08-06,New York Mets @ Cleveland Guardians,Cleveland Guardians,New York Mets,2026-08-06,Progressive Field,Foster Griffin,0.0,Nolan McLean,0.0,Más/Menos carreras,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FINAL,2026-08-06T14:42:14.053992,1.0.0,Juego finalizado,N/A,Más/Menos carreras,,,,,,,,,,,,,
